,open,close,high,low
2015/1/5,3258.63,3350.52,3369.28,3253.88
2015/1/6,3330.8,3351.45,3394.22,3303.18
2015/1/7,3326.65,3373.95,3374.9,3312.21
2015/1/8,3371.96,3293.46,3381.57,3285.09
2015/1/9,3276.97,3285.41,3404.83,3267.51
2015/1/12,3258.21,3229.32,3275.18,3191.58
2015/1/13,3223.54,3235.3,3259.39,3214.41
2015/1/14,3242.34,3222.44,3268.48,3193.98
2015/1/15,3224.07,3336.45,3337.08,3207.55
2015/1/16,3343.6,3376.49,3400.32,3340.49
2015/1/19,3189.73,3116.35,3262.21,3095.07
2015/1/20,3114.56,3173.05,3190.24,3100.48
2015/1/21,3189.09,3323.61,3337,3178.34
2015/1/22,3327.32,3343.34,3352.38,3293.98
2015/1/23,3357.1,3351.76,3406.79,3328.29
2015/1/26,3347.26,3383.18,3384.8,3321.32
2015/1/27,3389.85,3352.96,3390.22,3290.22
2015/1/28,3325.72,3305.74,3354.8,3294.66
2015/1/29,3259,3262.3,3286.79,3234.24
2015/1/30,3273.75,3210.36,3288.5,3210.31
2015/2/2,3148.14,3128.3,3175.13,3122.57
2015/2/3,3156.09,3204.91,3207.93,3129.73
2015/2/4,3212.82,3174.13,3238.98,3171.14
2015/2/5,3251.21,3136.53,3251.21,3135.82
2015/2/6,3120.09,3075.91,3129.54,3052.94
2015/2/9,3063.51,3095.12,3119.03,3049.11
2015/2/10,3090.49,3141.59,3142.1,3084.25
2015/2/11,3145.76,3157.7,3166.42,3139.05
2015/2/12,3157.96,3173.42,3181.77,3134.24
2015/2/13,3186.81,3203.83,3237.16,3182.79
2015/2/16,3206.14,3222.36,3228.85,3195.88
2015/2/17,3230.88,3246.91,3255.72,3230.77
2015/2/25,3256.48,3228.84,3257.22,3215.55
2015/2/26,3222.15,3298.36,3300.62,3202.19
2015/2/27,3296.83,3310.3,3324.55,3291.01
2015/3/2,3332.72,3336.28,3336.76,3298.67
2015/3/3,3317.7,3263.05,3317.7,3260.43
2015/3/4,3264.18,3279.53,3286.59,3250.48
2015/3/5,3264.09,3248.48,3266.64,3221.67
2015/3/6,3248.04,3241.19,3266.93,3234.53
2015/3/9,3224.31,3302.41,3307.7,3198.37
2015/3/10,3289.09,3286.07,3309.91,3277.09
2015/3/11,3289.59,3290.9,3325.05,3278.47
2015/3/12,3314.81,3349.32,3360.05,3300.49
2015/3/13,3359.49,3372.91,3391.26,3352.15
2015/3/16,3391.16,3449.3,3449.3,3377.09
2015/3/17,3469.6,3502.85,3504.12,3459.69
2015/3/18,3510.5,3577.3,3577.66,3503.85
2015/3/19,3576.02,3582.27,3600.68,3546.84
2015/3/20,3587.08,3617.32,3632.34,3569.38
2015/3/23,3640.1,3687.73,3688.25,3635.49
2015/3/24,3692.57,3691.41,3715.87,3600.7
2015/3/25,3680.95,3660.73,3693.15,3634.56
2015/3/26,3641.94,3682.09,3707.32,3615.01
2015/3/27,3686.13,3691.1,3710.48,3656.83
2015/3/30,3710.61,3786.57,3795.93,3710.61
2015/3/31,3822.99,3747.9,3835.57,3737.04
2015/4/1,3748.34,3810.29,3817.08,3742.21
2015/4/2,3827.69,3825.78,3835.45,3775.89
2015/4/3,3803.38,3863.93,3864.41,3792.21
2015/4/7,3899.42,3961.38,3961.67,3891.73
2015/4/8,3976.53,3994.81,4000.22,3903.65
2015/4/9,4006.13,3957.53,4016.4,3900.03
2015/4/10,3947.49,4034.31,4040.35,3929.32
2015/4/13,4072.72,4121.72,4128.07,4057.29
2015/4/14,4125.78,4135.56,4168.35,4091.26
2015/4/15,4135.65,4084.16,4175.49,4069.01
2015/4/16,4055.92,4194.82,4195.31,4031.24
2015/4/17,4254.72,4287.3,4317.22,4238.91
2015/4/20,4301.35,4217.08,4356,4190.68
2015/4/21,4212.19,4293.62,4294.38,4188.57
2015/4/22,4304.6,4398.49,4400.19,4297.95
2015/4/23,4414.48,4414.51,4444.41,4358.84
2015/4/24,4355.95,4393.69,4416.38,4318.12
2015/4/27,4441.93,4527.4,4529.73,4441.93
2015/4/28,4527.64,4476.22,4572.39,4432.9
2015/4/29,4446.12,4476.62,4499.94,4398.64
2015/4/30,4483.01,4441.65,4507.34,4441.05
2015/5/4,4441.34,4480.46,4487.57,4387.43
2015/5/5,4479.85,4298.71,4488.86,4282.24
2015/5/6,4311.64,4229.27,4376.35,4187.37
2015/5/7,4197.9,4112.21,4213.76,4108.01
2015/5/8,4152.98,4205.92,4206.86,4099.04
2015/5/11,4231.27,4333.58,4334.88,4187.82
2015/5/12,4342.37,4401.22,4402.31,4317.98
2015/5/13,4402.38,4375.76,4415.63,4342.48
2015/5/14,4372.82,4378.31,4397.74,4329.04
2015/5/15,4366.82,4308.69,4366.82,4278.55
2015/5/18,4277.9,4283.49,4324.83,4260.51
2015/5/19,4285.78,4417.55,4418.4,4285.78
2015/5/20,4434.98,4446.29,4520.54,4432.28
2015/5/21,4456.44,4529.42,4530.48,4438.26
2015/5/22,4584.98,4657.6,4658.27,4562.99
2015/5/25,4660.07,4813.8,4814.67,4656.82
2015/5/26,4854.85,4910.9,4911.69,4779.07
2015/5/27,4932.85,4941.71,4958.16,4857.06
2015/5/28,4943.74,4620.27,4986.5,4614.24
2015/5/29,4603.47,4611.74,4698.19,4431.56
2015/6/1,4633.1,4828.74,4829.5,4615.23
2015/6/2,4844.7,4910.53,4911.57,4797.55
2015/6/3,4924.38,4909.98,4942.06,4822.44
2015/6/4,4912.94,4947.1,4947.97,4647.41
2015/6/5,5016.09,5023.1,5051.63,4898.07
2015/6/8,5045.69,5131.88,5146.95,4997.48
2015/6/9,5145.98,5113.53,5147.45,5042.96
2015/6/10,5049.2,5106.04,5164.16,5001.49
2015/6/11,5101.44,5121.59,5122.46,5050.77
2015/6/12,5143.34,5166.35,5178.19,5103.4
2015/6/15,5174.42,5062.99,5176.8,5048.74
2015/6/16,5004.41,4887.43,5029.68,4842.1
2015/6/17,4890.55,4967.9,4983.66,4767.22
2015/6/18,4942.52,4785.36,4966.77,4780.87
2015/6/19,4689.93,4478.36,4744.08,4476.5
2015/6/23,4471.61,4576.49,4577.94,4264.77
2015/6/24,4604.58,4690.15,4691.77,4552.13
2015/6/25,4711.76,4527.78,4720.7,4483.55
2015/6/26,4399.93,4192.87,4456.9,4139.53
2015/6/29,4289.77,4053.03,4297.48,3875.05
2015/6/30,4006.75,4277.22,4279.97,3847.88
2015/7/1,4214.15,4053.7,4317.05,4043.37
2015/7/2,4058.62,3912.77,4080.39,3795.25
2015/7/3,3793.71,3686.91,3927.13,3629.56
2015/7/6,3975.21,3775.91,3975.21,3653.04
2015/7/7,3654.78,3727.13,3750.57,3585.4
2015/7/8,3467.4,3507.19,3599.25,3421.53
2015/7/9,3432.45,3709.33,3748.48,3373.54
2015/7/10,3707.46,3877.8,3959.22,3677.43
2015/7/13,3918.99,3970.39,4030.2,3858.64
2015/7/14,3958.37,3924.49,4035.43,3855.56
2015/7/15,3874.97,3805.7,3914.27,3741.25
2015/7/16,3758.51,3823.18,3877.51,3688.44
2015/7/17,3831.42,3957.35,3994.48,3814.15
2015/7/20,3948.42,3992.11,4021.33,3927.12
2015/7/21,3939.9,4017.68,4041.82,3912.8
2015/7/22,3996.43,4026.05,4042.34,3960.86
2015/7/23,4022.27,4123.92,4132.61,4019.04
2015/7/24,4124.76,4070.91,4184.45,4044.83
2015/7/27,3985.57,3725.56,4051.16,3720.44
2015/7/28,3573.14,3663,3762.53,3537.36
2015/7/29,3689.82,3789.17,3792.07,3612.06
2015/7/30,3773.79,3705.77,3844.37,3685.96
2015/7/31,3655.67,3663.73,3729.51,3620.16
2015/8/3,3614.99,3622.91,3648.94,3549.5
2015/8/4,3621.86,3756.55,3757.03,3601.29
2015/8/5,3745.65,3694.57,3782.35,3676.39
2015/8/6,3625.5,3661.54,3710.57,3614.74
2015/8/7,3692.61,3744.2,3756.74,3686.3
2015/8/10,3786.03,3928.41,3943.62,3775.85
2015/8/11,3928.81,3927.91,3970.34,3891.18
2015/8/12,3881.23,3886.32,3937.77,3871.14
2015/8/13,3869.91,3954.56,3955.79,3838.16
2015/8/14,3976.41,3965.34,4000.68,3939.84
2015/8/17,3947.84,3993.67,3994.54,3907.4
2015/8/18,3999.13,3748.16,4006.34,3743.39
2015/8/19,3646.8,3794.11,3811.43,3558.38
2015/8/20,3754.57,3664.29,3788.01,3663.61
2015/8/21,3609.96,3507.74,3652.84,3490.54
2015/8/24,3373.48,3209.91,3388.36,3191.88
2015/8/25,3004.13,2964.97,3123.03,2947.94
2015/8/26,2980.79,2927.29,3092.04,2850.71
2015/8/27,2978.03,3083.59,3085.42,2906.49
2015/8/28,3125.26,3232.35,3235.84,3102.95
2015/8/31,3203.56,3205.99,3207.86,3109.16
2015/9/1,3157.83,3166.62,3180.33,3053.74
2015/9/2,3027.68,3160.17,3194.49,3019.09
2015/9/7,3149.38,3080.42,3217.58,3066.3
2015/9/8,3054.44,3170.45,3174.71,3011.12
2015/9/9,3182.55,3243.09,3256.74,3165.7
2015/9/10,3190.55,3197.89,3243.28,3178.9
2015/9/11,3189.48,3200.23,3223.76,3163.45
2015/9/14,3221.16,3114.8,3229.48,3049.23
2015/9/15,3043.8,3005.17,3081.7,2983.92
2015/9/16,2998.04,3152.26,3182.93,2983.53
2015/9/17,3131.98,3086.06,3204.7,3085.31
2015/9/18,3100.28,3097.92,3122.05,3070.34
2015/9/21,3072.09,3156.54,3159.88,3060.86
2015/9/22,3161.32,3185.62,3213.48,3152.48
2015/9/23,3137.72,3115.89,3164.04,3104.74
2015/9/24,3126.49,3142.69,3151.16,3109.69
2015/9/25,3130.85,3092.35,3149.95,3062.99
2015/9/28,3085.57,3100.76,3103.07,3042.31
2015/9/29,3055.22,3038.14,3068.3,3021.16
