,open,close,low,high,volume
2019/1/2 9:31,3017.07,3015.99,3015.99,3018.78,172640000
2019/1/2 9:32,3015.82,3012.49,3012.49,3016.2,70901300
2019/1/2 9:33,3012.82,3015.01,3012.25,3015.01,58321000
2019/1/2 9:34,3015.69,3010.86,3010.86,3016.12,70800300
2019/1/2 9:35,3010.09,3008.28,3008.28,3010.41,57546400
2019/1/2 9:36,3008.36,3007.31,3007.22,3008.59,55420800
2019/1/2 9:37,3007.36,3006.85,3006.43,3007.46,50340600
2019/1/2 9:38,3006.66,3008.87,3006.51,3008.87,51294500
2019/1/2 9:39,3009.11,3005.75,3005.75,3009.34,58606600
2019/1/2 9:40,3005.4,3001.8,3001.8,3005.4,69280500
2019/1/2 9:41,3001.67,2999.73,2999.73,3001.71,58293000
2019/1/2 9:42,3000.24,3000.91,2999.72,3000.93,55244600
2019/1/2 9:43,3001.49,3003.12,3001.49,3003.12,60845100
2019/1/2 9:44,3003.73,3000.13,3000.13,3003.73,52386100
2019/1/2 9:45,3000.28,2996.77,2996.49,3000.28,60288900
2019/1/2 9:46,2995.69,2990.53,2990.16,2995.69,88192100
2019/1/2 9:47,2990.45,2990.79,2988.91,2990.79,58565200
2019/1/2 9:48,2991.41,2989.91,2989.91,2992.6,64984300
2019/1/2 9:49,2989.84,2989.38,2989.17,2989.84,60572000
2019/1/2 9:50,2989.8,2994.8,2989.8,2994.8,51996100
2019/1/2 9:51,2995.11,2994.73,2994.5,2995.74,56309500
2019/1/2 9:52,2994.2,2992.54,2992.15,2994.34,54245400
2019/1/2 9:53,2991.84,2992.66,2991.81,2992.66,42982600
2019/1/2 9:54,2992.34,2989.25,2989.25,2992.34,45987800
2019/1/2 9:55,2988.66,2983.34,2983.34,2988.67,57668100
2019/1/2 9:56,2981.93,2979.94,2979.41,2981.93,62038200
2019/1/2 9:57,2979.64,2979.22,2979.22,2980.19,51107600
2019/1/2 9:58,2979.91,2979.91,2979.29,2980.15,43662400
2019/1/2 9:59,2979.82,2977.53,2976.94,2979.82,46905400
2019/1/2 10:00,2977.72,2978.17,2977.27,2978.44,39568900
2019/1/2 10:01,2978.23,2977.01,2977.01,2978.48,47906000
2019/1/2 10:02,2977.9,2975.96,2975.59,2977.9,45156300
2019/1/2 10:03,2976.56,2980.22,2976.32,2980.31,39003800
2019/1/2 10:04,2980.83,2982.48,2980.46,2982.48,41596100
2019/1/2 10:05,2982.5,2980.88,2980.88,2982.5,34787600
2019/1/2 10:06,2980.83,2980.96,2980.18,2981.18,30650000
2019/1/2 10:07,2980.78,2978.22,2978.22,2981.14,35059500
2019/1/2 10:08,2978.91,2978.43,2978.19,2978.93,32872100
2019/1/2 10:09,2978.29,2978.47,2978.05,2978.7,29805700
2019/1/2 10:10,2978.26,2977.41,2976.91,2978.26,29695500
