,open,close,low,high,volume
2019-10-08 09:31:00,3818.59,3824.1,3818.59,3824.38,174444900.0
2019-10-08 09:32:00,3824.82,3826.3,3824.82,3826.46,75056200.0
2019-10-08 09:33:00,3826.84,3824.96,3824.57,3827.51,72277800.0
2019-10-08 09:34:00,3824.46,3827.19,3824.46,3827.38,67030900.0
2019-10-08 09:35:00,3827.41,3827.82,3827.41,3828.45,60376600.0
2019-10-08 09:36:00,3827.67,3829.97,3827.67,3829.97,59253500.0
2019-10-08 09:37:00,3830.32,3833.33,3830.32,3833.33,74388000.0
2019-10-08 09:38:00,3833.66,3837.19,3833.66,3837.19,74424000.0
2019-10-08 09:39:00,3837.09,3833.1,3833.1,3837.11,77404200.0
2019-10-08 09:40:00,3833.59,3836.14,3833.49,3836.14,60548200.0
2019-10-08 09:41:00,3836.29,3837.01,3836.21,3837.67,59532900.0
2019-10-08 09:42:00,3837.55,3835.06,3833.78,3837.55,66740200.0
2019-10-08 09:43:00,3834.86,3838.8,3834.86,3838.8,59098500.0
2019-10-08 09:44:00,3837.92,3835.53,3835.25,3837.94,54993800.0
2019-10-08 09:45:00,3835.77,3834.99,3834.64,3835.98,46955500.0
2019-10-08 09:46:00,3834.68,3832.35,3832.35,3834.82,52647000.0
2019-10-08 09:47:00,3833.05,3830.26,3829.96,3833.05,62694800.0
2019-10-08 09:48:00,3830.56,3828.87,3828.76,3830.56,54325100.0
2019-10-08 09:49:00,3829.33,3829.58,3829.23,3829.59,50704000.0
2019-10-08 09:50:00,3829.59,3829.3,3828.99,3829.59,45822800.0
2019-10-08 09:51:00,3828.78,3831.53,3828.78,3831.53,55692800.0
2019-10-08 09:52:00,3831.89,3834.97,3831.89,3834.97,66734700.0
2019-10-08 09:53:00,3835.32,3835.07,3835.07,3836.71,49773100.0
2019-10-08 09:54:00,3833.11,3833.09,3832.31,3833.6,48108000.0
2019-10-08 09:55:00,3833.32,3836.3,3833.31,3836.3,42854000.0
2019-10-08 09:56:00,3836.66,3836.64,3836.05,3837.17,41266800.0
2019-10-08 09:57:00,3836.29,3836.71,3836.26,3837.0,36758300.0
2019-10-08 09:58:00,3836.65,3836.03,3836.02,3836.65,38494700.0
2019-10-08 09:59:00,3836.59,3836.75,3836.17,3837.18,40910600.0
2019-10-08 10:00:00,3837.06,3837.8,3836.96,3837.92,37539300.0
2019-10-08 10:01:00,3837.55,3835.17,3835.17,3838.55,46355000.0
2019-10-08 10:02:00,3835.55,3837.38,3835.55,3837.38,37987500.0
2019-10-08 10:03:00,3837.27,3841.27,3837.27,3841.27,50001700.0
2019-10-08 10:04:00,3841.35,3842.56,3841.35,3842.74,43536500.0
2019-10-08 10:05:00,3843.22,3845.2,3843.22,3845.2,42103200.0
2019-10-08 10:06:00,3845.54,3848.0,3845.54,3848.0,44967500.0
2019-10-08 10:07:00,3847.97,3845.68,3845.68,3847.97,48992000.0
2019-10-08 10:08:00,3846.42,3845.99,3845.99,3846.8,35376500.0
2019-10-08 10:09:00,3846.33,3846.82,3845.82,3846.82,32037500.0
2019-10-08 10:10:00,3846.93,3845.61,3845.33,3847.24,37063800.0
2019-10-08 10:11:00,3845.6,3846.24,3845.48,3846.4,34080600.0
2019-10-08 10:12:00,3846.38,3846.02,3845.98,3846.68,37438800.0
