,index,balance,net_worth,open_amount,price_x,step,symbol,type,amount,price_y
0,0,5097.898620070118,19504363.211866282,1.28163967,3824.867078224788,0,ETH/BTC,TradeType.MARKET_BUY,1.28163967,3824.867078224788
1,1,6323.563441557932,24203954.955865704,0.9612297499999999,3825.302354832876,1,ETH/BTC,TradeType.MARKET_SELL,0.32040992,3825.302354832876
2,2,9072.101376102231,34701706.69924159,0.24030743999999993,3812.53,2,ETH/BTC,TradeType.LIMIT_SELL,0.72092231,3812.53
3,3,9072.101376102231,34737996.06597576,0.24030743999999993,3827.671043595763,,,,,
4,4,2352.4324205568682,9015052.977035249,1.98255975,3856.886236842104,4,ETH/BTC,TradeType.MARKET_BUY,1.74225231,3856.886236842104
5,5,4245.038487846268,16268437.349811353,1.48691981,3818.51,5,ETH/BTC,TradeType.LIMIT_SELL,0.49563994,3818.51
6,6,4245.038487846268,16285423.451441979,1.48691981,3834.0,,,,,
7,7,8512.30133523767,32680151.52552551,0.37172995,3826.49,7,ETH/BTC,TradeType.LIMIT_SELL,1.11518986,3826.49
8,8,160.42420294672775,624995.7718570608,2.54797954,3837.7386356180505,8,ETH/BTC,TradeType.MARKET_BUY,2.17624959,3837.7386356180505
9,9,2.7663621122300697,20545.828438586777,2.58897211,3846.0101631709767,9,ETH/BTC,TradeType.MARKET_BUY,0.04099257,3846.0101631709767
10,10,2.7663621122300697,20556.539107031236,2.58897211,3850.3359688054306,,,,,
11,11,2.7663621122300697,20545.828438586777,2.58897211,3874.314781873637,,,,,
12,12,2.7663621122300697,20556.539107031236,2.58897211,3838.0,,,,,
13,13,4921.73370787971,18889657.885660604,1.2944860599999999,3799.9384742442608,13,ETH/BTC,TradeType.MARKET_SELL,1.29448605,3799.9384742442608
14,14,8632.86341202971,33108271.95004162,0.3236215199999999,3822.5,14,ETH/BTC,TradeType.LIMIT_SELL,0.97086454,3822.5
15,15,8939.927383470407,34267671.749090545,0.24271613999999989,3795.346754946302,15,ETH/BTC,TradeType.MARKET_SELL,0.08090538,3795.346754946302
16,16,8939.927383470407,34249791.40889133,0.24271613999999989,3830.0,,,,,
17,17,4547.24384985508,17416707.26803942,1.38729544,3837.8149365581985,17,ETH/BTC,TradeType.MARKET_BUY,1.1445793,3837.8149365581985
18,18,1200.3700999884818,4607274.094156974,2.2601151699999997,3834.5532700854483,18,ETH/BTC,TradeType.MARKET_BUY,0.87281973,3834.5532700854483
19,19,7673.074392882283,29397712.059397727,0.5650287899999997,3818.51,19,ETH/BTC,TradeType.LIMIT_SELL,1.69508638,3818.51
20,20,8212.747525482284,31481085.157906476,0.42377158999999975,3820.5,20,ETH/BTC,TradeType.LIMIT_SELL,0.1412572,3820.5
21,21,101.11987891917943,397469.59480001306,2.52343744,3863.2945554470507,21,ETH/BTC,TradeType.MARKET_BUY,2.09966585,3863.2945554470507
22,22,101.11987891917943,397676.8814327314,2.52343744,3836.0,,,,,
23,23,51.26565910968192,206328.22057467015,2.53636356,3856.858810648324,23,ETH/BTC,TradeType.MARKET_BUY,0.01292612,3856.858810648324
24,24,7326.488462797982,28114168.604409896,0.6340908899999997,3824.49,24,ETH/BTC,TradeType.LIMIT_SELL,1.90227267,3824.49
25,25,3724.1395817143643,14295546.652447175,1.5701453099999998,3848.439582266614,25,ETH/BTC,TradeType.MARKET_BUY,0.93605442,3848.439582266614
26,26,1893.4659290905643,7273077.044439335,2.04595269,3847.51,26,ETH/BTC,TradeType.LIMIT_BUY,0.47580738,3847.51
27,27,3841.357838445982,14745176.232015954,1.53446452,3808.283404395096,27,ETH/BTC,TradeType.MARKET_SELL,0.51148817,3808.283404395096
28,28,9699.543133961817,37217147.00501149,0.0,3817.739165136145,28,ETH/BTC,TradeType.MARKET_SELL,1.53446452,3817.739165136145
29,29,9699.543133961817,37236546.09127941,0.0,3820.1990929388585,,,,,
30,30,163.87092893568297,638280.2273126956,2.47848618,3847.377597653635,30,ETH/BTC,TradeType.MARKET_BUY,2.47848618,3847.377597653635
31,31,163.87092893568297,638612.9261429269,2.47848618,3838.0,,,,,
32,32,83.13779833219303,329101.2158700778,2.49939013,3862.0992971897626,32,ETH/BTC,TradeType.MARKET_BUY,0.02090395,3862.0992971897626
33,33,42.36987193593058,172470.82048394124,2.50999548,3844.0906142901886,33,ETH/BTC,TradeType.MARKET_BUY,0.01060535,3844.0906142901886
34,34,11.122015896949986,52470.9859102866,2.5180943200000003,3858.3125532768395,34,ETH/BTC,TradeType.MARKET_BUY,0.00809884,3858.3125532768395
