,trades,active_holds,passive_holds
0,0,0,0
1,8779,0,1032
2,8731,0,1091
3,8513,0,1319
4,8800,0,948
5,8906,0,917
6,8578,0,1259
7,8789,0,1026
8,8603,0,1181
9,8805,0,979
10,8746,0,1092
11,4530,0,4501
12,8981,0,930
13,9010,0,1023
14,8761,0,1190
15,9029,0,912
16,8831,0,1065
17,8775,0,1145
18,8922,0,999
19,8922,0,1024
20,8865,0,1058
21,8740,0,1181
22,7440,0,3904
23,8737,0,1268
24,8984,0,1077
25,9141,0,1014
26,8902,0,1277
27,8864,0,1235
28,9010,0,1096
29,8922,0,1059
30,8909,0,1215
31,9013,0,1130
32,8991,0,1057
33,6110,0,4456
34,8903,0,1229
35,8740,0,1388
36,8921,0,1207
37,8852,0,1209
38,8829,0,1209
39,8767,0,1323
40,8879,0,1318
41,8959,0,1183
42,8909,0,1205
43,8909,0,1277
44,8987,0,3787
45,8780,0,1301
46,8809,0,1382
47,8799,0,1330
48,8969,0,1272
49,8975,0,1187
50,8901,0,1366
51,8794,0,1361
52,8916,0,1266
53,8941,0,1281
54,8840,0,1345
55,9366,0,4037
56,8938,0,1369
57,8908,0,1405
58,8986,0,1322
59,8884,0,1386
60,9018,0,1321
61,9011,0,1269
62,9004,0,1400
63,8994,0,1300
64,8928,0,1387
65,8931,0,1355
66,8321,0,4054
67,8913,0,1403
68,8923,0,1425
69,8917,0,1385
70,8911,0,1379
71,8831,0,1376
72,9069,0,1274
73,8864,0,1426
74,8895,0,1385
75,8911,0,1439
76,8880,0,1406
77,7259,0,3720
78,8952,0,1242
79,8832,0,1329
80,8933,0,1365
81,8904,0,1280
82,8867,0,1302
83,8749,0,1473
84,8591,0,1610
85,8747,0,1481
86,8904,0,1265
87,8834,0,1419
88,8532,0,3822
89,8995,0,1046
90,9076,0,1046
91,9126,0,1046
92,9172,0,1000
93,9130,0,1001
94,9070,0,999
95,9010,0,1001
96,9095,0,1057
97,9042,0,1036
98,9112,0,1039
99,8578,0,3710
100,9283,0,779
101,9284,0,836
102,9263,0,933
103,9172,0,893
104,9241,0,845
105,9250,0,905
106,9119,0,1009
107,9173,0,812
108,9156,0,940
109,9098,0,920
110,8532,0,3459
111,9211,0,781
112,9287,0,650
113,9249,0,766
114,9267,0,724
115,9200,0,760
116,9218,0,736
117,9213,0,725
118,9301,0,629
119,9338,0,677
120,9217,0,676
121,8874,0,3621
122,9304,0,762
123,9252,0,850
124,9325,0,752
125,9249,0,830
126,9168,0,831
127,9176,0,816
128,9333,0,735
129,9296,0,865
130,9386,0,670
131,9406,0,748
132,9121,0,3615
133,9383,0,876
134,9401,0,809
135,9419,0,856
136,9205,0,970
